id,NGR,Longitude/Latitude,Site Height,In-Use Ae Ht,In-Use ERP Total,Dir Max ERP,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,Lat,Long
746030,TL39245942,000E02 12 52N12 55,62,62,"1.000,000",,2.5,3.3,0.8,0.2,2,3.4,2.2,1.8,2.7,4.5,3.8,2.6,5.1,5,1.6,0.4,0,0.3,1.7,3.4,1.3,0.2,2,2.6,0.7,0,0.3,1.8,3.4,1.3,0.2,2,2.7,0.6,0.1,0.6,52.215394,0.036667
746031,SU85028402,000W46 31 51N32 55,85,31,"0.025,000",220,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,51.548667,-0.775255
746032,ST93888811,002W05 23 51N35 30,91,34,"0.020,000",,5.6,5.7,5.7,5.9,5.9,5.8,5.6,4.9,3.8,2.3,1.2,0.4,0,0,0.5,1.2,2.3,3.4,4.5,4.9,5.3,5.3,5.2,5,4.3,3.4,2.2,1.3,0.4,0.1,0,0.4,1.2,2.4,3.7,4.7,51.591795,-2.089739
746033,SJ84269819,002W14 19 53N28 49,43,123,"0.500,000",,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,53.480177,-2.23864
746034,TM12302954,001E05 10 51N55 26,35,156,"1.000,000",290,1.6,2.2,2.9,4.1,5.1,7.4,10.2,12.3,13.2,13.5,13.7,14,14.2,14.1,13.4,11.6,9.5,7.3,5.2,3.3,2.3,1.7,1,0.7,0.5,0.1,0.4,0,0.1,0.3,0.4,0.5,0.4,0.5,0.5,1,51.92387,1.086097
746035,SK58344246,001W07 57 52N58 35,122,46,"1.000,000",,1,2,2,0.7,0,0.7,2.2,2.4,1,1,2,2,0.8,0,0.9,2.7,2.2,1,1,2,2,0.6,0,1,2.4,2.3,1,1,2,2,0.7,0,1,2.5,2.3,1,52.976309,-1.132626
746036,SJ669343,002W29 37 52N54 18,100,24,"0.033,884",65,1.7,5.7,1.6,0.9,1.4,1.1,0.1,0.3,0.1,1.1,1,2.2,2.8,5.6,7.3,5.8,6.7,15.7,4.7,7.4,3.4,2.1,2.3,1.8,0.4,0.4,0,0.7,0.3,1.1,1.3,3.7,4.9,2.5,3.2,13.2,52.905093,-2.493571
746037,SU20966881,001W42 00 51N25 04,192,44,"0.200,000",270,3.5,5,6.5,10,12,18,20,20,20,20,20,20,20,18,12,10,6.5,5,3.5,2.5,1.8,1.2,0.8,0.5,0.2,0,0,0,0,0,0.2,0.5,0.8,1.2,1.8,2.5,51.417912,-1.699977
746038,ST56434883,002W37 32 51N14 13,303,238,"4.886,186",350,0.2,1.9,1.4,0.4,1.5,3.6,3.5,0.9,0.7,1.3,1.7,2.9,4.3,10,13.4,11.4,10.8,8.1,8.9,10.1,9.3,13.9,8.2,2.5,1.6,1.3,0.4,0.4,1.9,4.1,2.3,0.4,0.3,2,1,0,51.236969,-2.625476
746039,TM12286414,001E06 26 52N14 04,64,225,"1.000,000",290,4.2,2.1,1.6,1.1,1.3,2.6,6,9,9,13,13,13,10.7,11.2,10,6,5,3.5,0.8,0,0.6,1.9,3,5,3,3,5,3,1.3,0.1,0.3,2,5,3.8,3,5.2,52.234496,1.107319
746040,SU91222499,000W42 03 51N01 01,185,93,"1.800,002",310,2,4,2.5,0.7,0,1,3.7,5,3.5,3.9,6,8,7,7,9,14,9,5.3,3,1.5,0.5,0.5,1.3,2,3,2.4,1,3,4,2.2,1,1,1.7,2.9,2,1,51.017054,-0.70092
746041,SJ12337013,003W18 52 53N13 15,336,188,"9.500,009",40,1.7,2.1,2.8,1.5,2.5,2.4,1.2,2.9,1.1,0.9,0,3.2,5.1,3.6,5.2,4.1,5.6,4.9,4.5,3.4,3,4.4,3.8,8.5,9.3,7,10.2,7.4,11.4,7.8,7.6,10.5,4,3.4,1,0.6,53.220944,-3.31452
746042,SD23957916,003W10 02 54N12 09,259,70,"2.800,000",120,20,20,15,10,8,6,4,1.5,1,0,0,0,0,0,0,0,1,1.5,4,6,8,10,15,20,20,20,20,20,20,20,20,20,20,20,20,20,54.202505,-3.167346
746043,SE283268,001W34 21 53N44 13,120,59,"1.000,000",0,0,0.3,0.6,0.9,1.4,2.2,3,4.9,7,9.5,12,14.4,16.4,18.4,20,20,20,20,20,20,20,20,20,18.4,16.4,14.4,12,9.5,7,4.9,3,2.2,1.4,0.9,0.6,0.3,53.736807,-1.572457
746044,TQ07529187,000W26 55 51N36 55,105,32,"0.100,000",,0.6,0.2,0,0.1,0.2,0.2,0.3,0.4,0.6,0.9,0.8,0.5,0.6,1.4,2.5,3.6,6.4,9.2,10.9,14.8,17.7,17.8,19.9,21.8,23.1,24.4,25.5,21.8,16.6,12.6,10.5,9.2,6.2,3.8,2.4,1.3,51.615389,-0.448479
746045,NH64005802,004W16 37 57N35 30,212,248,"10.000,000",90,1,0.7,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.8,1.3,2,3,4,4.5,5,5.5,6,6.5,7,6.5,6,5.5,5,4.5,4,3,2,57.591626,-4.27683
746046,ST94776858,002W04 36 51N24 58,175,46,"1.909,985",350,0,0.2,0.8,0.8,0.7,0.9,0.8,1.5,2.2,3.6,5.2,7.2,8.5,9,8.1,6.9,7.3,8.3,7.9,8.3,8.7,5.8,2.9,3.5,2,1.9,2.2,0.9,1.2,1.6,0.8,0.2,0.8,0.4,0.9,0,51.416202,-2.076595
746047,TQ43600066,000E02 09 50N47 16,81,45,"0.977,237",0,0.2,0.4,0.8,1.2,1.1,1.4,1.5,1.7,2.5,3.7,5.7,8.2,10.7,13.5,16.5,25,25.9,25.9,25.9,20.7,15.6,12,9.3,7.4,5.7,4.4,3.2,2,1.4,1.4,1.2,1,0.7,0.2,0.2,0,50.787726,0.035848
746048,IJ50157386,005W40 41 54N35 26,20,16,"0.015,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.590668,-5.677949
746049,SZ00998114,001W59 15 50N37 48,196,13,"1.000,000",20,0.8,0,0,0,0,0.4,0.8,1.4,2.2,3,4.5,6.5,9,11.8,15,20,20,20,20,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,2.1,1.4,50.629952,-1.987364
746050,SX57817420,004W00 30 50N33 01,508,145,"3.200,000",270,9,11.8,15,20,20,20,20,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,2.1,1.4,0.8,0.4,0,0,0,0.4,0.8,1.4,2.2,3,4.5,6.5,50.550217,-4.008413
746051,SK50354354,001W15 05 52N59 13,129,44,"0.030,000",270,5.3,8.3,10.5,14.1,19.7,24,26,26,26,26,19.4,12.5,9.8,6.8,4.8,3.6,2,0.9,0.3,0.1,0,0.9,1.4,1.6,1.6,1.6,1.7,1.4,1.5,1.2,0.7,0.8,0.6,1,1.9,3.1,52.986825,-1.251436
746052,SU73724979,000W56 43 51N14 33,115,49,"1.000,000",,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1,0.7,0.3,0,0,0,0.3,0.5,0.8,51.242524,-0.945288
746053,TA04018692,000W24 16 54N16 02,151,29,"2.000,000",,1,3,2.5,0.3,0,0,0.4,2.5,2.6,1,3,2.2,0.4,0,0,0.6,2.3,3,1,2.8,2.5,0.3,0,0,0.4,2.5,3,1,3,2.5,0.3,0,0,0.4,2.5,3,54.267351,-0.404494
746054,TM52369410,001E42 56 52N29 11,8,41,"0.501,187",270,0.9,1.75,3,4.25,6,7.5,8.5,9,9.4,10,9.4,9,8.5,7.5,6,4.25,3,1.75,0.9,0.25,0,0,0.25,0.75,1,1.4,1.5,1.6,1.5,1.4,1,0.75,0.25,0,0,0.25,52.486385,1.715554
746055,SP56711054,001W10 45 51N47 26,130,130,"7.401,198",330,2.4,1.1,0.6,1.8,4.1,5.5,5.2,5.1,9.4,12.3,11.4,11.5,11.7,8.5,6.8,9.3,12.2,9.2,8.7,8.9,9.9,10.1,7.1,6.6,6.8,4.6,2.3,1.1,0,0.4,3.7,4.5,1.6,1.2,1.8,3.5,51.790638,-1.179183
746056,SD82593844,002W15 58 53N50 31,276,28,"2.029,000",170,22,16,14,12.7,10,7.5,4,3,3,2,2,2,1,1,2,1,0,0,0,1,2,2,1,2,2,2,3,2,4,7.3,10,12,14,17,22,22,53.841893,-2.266074
746057,NY53103132,002W43 44 54N40 29,263,48,"2.000,000",210,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,54.674729,-2.728805
746058,TL12549126,000W20 36 52N30 27,56,133,"4.886,186",325,1.4,0.9,1.8,2.7,3,2.8,2.5,3.8,6.9,5,4.4,3.7,4.8,7,5.6,4,5.1,7.9,6.8,6.7,6,5.6,2.5,2.1,3.7,5.1,2.4,0.3,0,0.5,3.1,3.3,2.3,2.1,2.3,3.1,52.507615,-0.343282
746059,TL24982566,000W11 03 51N54 56,133,28,"0.060,000",270,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,51.915442,-0.184286
746060,SX53085554,004W04 04 50N22 53,113,38,"1.954,474",345,0.4,0.4,0.3,0.7,1.2,2.4,3.4,5.7,7.7,7.4,8.9,11,14.4,16.4,14.1,14.3,15.6,12.9,12.6,11,10.3,8.8,7.4,4.9,2.5,4.5,2.2,0.4,0.3,0.4,0.1,0,0.4,0.9,1,0.7,50.381346,-4.067802
746061,NZ14785270,001W46 16 54N52 08,302,123,"6.016,460",,3.3,3.7,2.8,1.2,1.5,2.9,4.9,4.4,3.7,4.2,4.8,2.9,0.8,0.8,2,4,3.6,2.7,2.9,3.6,2.2,0.4,0.5,1.6,3.5,2.8,1.7,2.6,3.1,1.9,0.1,0,1.2,3.7,3.7,2.7,54.868838,-1.771233
746062,SN17203067,004W39 40 51N56 40,323,207,"1.698,244",110,1,0,0.3,0.8,2.2,3,1.6,1.7,3,1.5,1,1,1,1.5,3,1.7,1.6,3,2.3,0.8,0.3,0,1,3,4.6,7,13.3,26,17,17,17,26,15,7.1,4.8,2.6,51.944404,-4.661027
746063,ST61027640,002W33 46 51N29 07,91,56,"1.000,000",160,8.4,10.2,11,10.2,8.8,5.9,4.5,3.7,2.5,1.8,1.3,0.9,0.1,0,0.4,1.3,1.9,2.9,3.8,4,4,3.3,2.5,1.9,1.1,0.3,0,0.5,1,1.2,1.6,2,2.6,3.2,4.4,6,51.48519,-2.562764
746064,TL89516949,000E46 38 52N17 27,69,51,"1.800,002",270,0.9,1.7,2.8,3.9,5,5.8,6.4,6.7,6.8,6.7,6.7,6.6,6.3,5.8,4.9,3.8,2.7,1.6,0.8,0.3,0,0.1,0.2,0.4,0.6,0.8,1.1,1.1,1,0.8,0.6,0.3,0.1,0.1,0,0.3,52.290839,0.777315
746065,NJ94270253,002W05 46 57N06 49,87,41,"1.199,999",,0.2,0.5,1,1.6,2.3,3.3,4.8,6.6,8.6,10.9,12.8,15.7,19,24.4,25.9,25.9,25.9,25.9,25.9,25.7,23.8,22.2,18.6,15.8,14.1,11.8,9.4,7.4,5.4,3.8,2.4,1.3,0.6,0.2,0,0,57.113656,-2.096244
746066,SW69033944,005W14 19 50N12 35,237,138,"1.289,953",240,1.1,1.3,1.1,1.1,2.6,1.2,0.1,1.3,2.1,1.1,0,1.3,1.5,2.9,4.7,8.7,13,17,14,12.5,9.6,5.7,3.5,2.3,0.7,1.3,2.7,7.5,10.8,12.3,16.7,18.2,12.1,7.3,3.7,1.5,50.209786,-5.238489
746067,TQ25645213,000W12 04 51N15 16,234,51,"0.954,993",315,3.5,3.8,3.1,1.9,1.8,1.9,1.9,4.1,8.5,13,13.6,12.7,11.4,9.7,9.2,8.4,8.8,10.1,9.2,4.4,1.6,0.6,0.9,1,1.3,3,3.8,2.8,2.8,3.4,1.4,0,1.1,3.4,2.6,3,51.254494,-0.200986
746068,TQ184739,000W17 51 51N27 06,40,19,"0.300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.451704,-0.297446
746069,SO63033336,002W32 24 51N59 51,204,127,"5.000,000",,0.6,0.5,2.4,4.2,2.5,1.3,2.8,2.9,1,0.3,0.6,1.9,4.1,1.9,1.4,3.2,3.1,0.8,0,0.3,1.8,3.9,2.8,1.6,3.9,3.7,2.1,1.2,1.6,3.5,4.2,2.2,1.8,3.6,3.3,1.2,51.997433,-2.53989
746070,NS25848119,004W47 38 55N59 31,107,85,"0.600,000",90,2.4,2.7,2.2,0.7,0,0.2,1.1,3.1,2.1,0.5,1.7,2.5,1.2,0.7,0.7,1.2,2.5,1.6,0.4,2,3,1.1,0.2,0,0.8,2.4,2.8,2.5,5.5,9.6,7.3,6.4,6.5,7.4,9.5,5.4,55.991937,-4.793795
746071,SD98730499,002W01 14 53N32 30,347,45,"0.600,000",15,0,0.3,0.4,0.3,0.4,1,3,3.9,2.9,8.2,7.5,5.2,10.7,3.6,2.9,3.3,1.5,0.2,0,0.2,0.4,0.3,0.4,1,2.9,3.9,2.8,8.8,6.6,5.2,10.9,3.5,2.8,3.3,1.5,0.2,53.541535,-2.020635
746072,SU13642852,001W48 24 51N03 21,107,43,"1.900,002",320,2.3,1.9,1.8,0.8,0,0.9,2,2.6,2.9,3.4,3.5,4.9,4.8,4.3,3.8,3.9,4.5,5.2,4.1,3.4,3.9,2.7,2.3,1.8,1.4,1.1,2.1,2.1,2,2.1,1.2,0.7,1.6,1.4,1.3,1.9,51.055855,-1.806762
746073,SP33217963,001W30 47 52N24 49,91,58,"0.500,000",90,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,52.413654,-1.513171
746074,TL20474944,000W14 29 52N07 48,54,167,"4.593,016",315,2,4.1,4.9,1.8,0.6,1,1.2,2.3,7.1,11.8,7.8,8,10.7,11,12,10.3,7.1,6.2,8.8,4.7,2,0.1,0,1.1,2.4,3.9,2,1,1.9,3,0.8,0.4,1.7,3.7,3.9,1.4,52.130132,-0.241462
746075,SE88160912,000W40 13 53N34 17,42,47,"0.077,000",90,1,0.7,0.3,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,53.57127,-0.670181
746076,SO92279444,002W06 56 52N32 52,225,32,"0.600,000",180,1.6,1.8,2,2.7,5,8.3,8.5,8.9,16.2,15.7,8.4,5.9,6.2,5.2,3,1.5,0.7,0.2,0,0.3,0.9,1.8,1,0.1,3.7,6.4,0.2,4,8,1.1,0.3,0.5,0.9,1.1,1.2,1.3,52.547739,-2.115424
746077,NT50062941,002W47 36 55N33 21,290,167,"9.772,372",,1.9,3.3,4,1.7,0.2,0.1,1,2.6,2,0.4,2,2.9,1.1,0.3,0.6,1.9,3.3,2.2,0.9,2.8,4,2,0.6,0.6,1.9,3.7,2.1,0.6,2.5,3.3,1.2,0,0.3,2.3,4.3,3.4,55.555786,-2.793221
746078,NS455597,004W28 00 55N48 21,230,33,"0.913,000",50,1,1,2,2,0.7,0,0.7,2,2,1,1,2,2,2.7,2.2,1.3,3,3,4,8,10.4,12.8,16,20,20,13.3,9.8,7.1,4.7,3,4.5,1,2.2,2.7,2,2,55.80577,-4.466669
746079,TL57243929,000E17 26 52N01 47,120,50,"1.000,000",,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,52.029722,0.290628
746080,SK32448706,001W30 50 53N22 46,247,39,"2.691,535",,2.5,2.3,1,1,2.4,2,0.6,0,1,2.4,2.3,1,1,2.4,2,0.4,0,0.9,2.7,2.2,1,1,2.4,2,0.6,0,1,2.8,2.3,1,1,2.4,2,0.5,0,1,53.379385,-1.513809
746081,SK48971863,001W16 33 52N45 47,91,40,"0.060,000",70,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,52.763046,-1.275729
746082,SY13658791,003W13 25 50N41 04,112,24,"0.030,200",290,5,6.5,9,11.8,15,20,20,20,20,20,20,20,20,20,20,20,20,20,14,11.4,9,6.7,4.4,3.2,2.1,1.4,0.8,0.4,0,0,0,0.4,0.8,1.4,2.2,3,50.684407,-3.223662
746083,ST66887442,002W28 41 51N28 04,70,26,"0.020,000",260,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,51.467762,-2.478188
746084,TQ87248589,000E41 55 51N32 27,33,40,"0.024,000",,0.1,0,0,0.2,0.6,1.3,2.3,3.7,5.6,7.8,10.3,12.9,15.3,17.3,18.3,18.5,17.6,15.7,13.1,10.3,7.7,5.5,3.7,2.3,1.3,0.6,0.2,0,0,0.1,0.2,0.2,0.3,0.3,0.2,0.2,51.540835,0.698653
746085,TF25362114,000W08 35 52N46 24,3,53,"0.070,000",,1.3,0.4,0.1,0,0.4,1.2,2.4,3.7,4.7,5.6,5.7,5.7,5.9,5.9,5.8,5.6,4.9,3.8,2.3,1.2,0.4,0,0,0.5,1.2,2.3,3.4,4.5,4.9,5.3,5.3,5.2,5,4.3,3.4,2.2,52.773292,-0.143159
746086,SJ34829039,002W58 55 53N24 23,10,127,"0.500,000",345,5,4.5,4,3,2,1.2,0.5,0,0,0.5,1.2,2,3,4,4.5,5,5,5,5,4.5,4,3,2,1.2,0.5,0,0,0.5,1.2,2,3,4,4.5,5,5,5,53.406267,-2.981914
746087,TQ58243738,000E15 34 51N06 50,144,27,"0.020,000",350,0.4,1.5,3.2,5.7,9.1,13.1,17.7,23.1,28.4,28.6,28.1,27.1,26.8,25.6,22.9,23.6,24.3,24.5,24.5,24.7,27,27.5,28.9,27.5,28.8,28.6,26,23.8,17.1,12.5,8.9,5.8,3.1,1.3,0.3,0,51.11386,0.259324
746088,TQ038718,000W30 29 51N26 08,16,50,"0.300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.43569,-0.508094
746089,TF01420828,000W30 07 52N39 46,58,32,"0.036,000",160,25.9,25.7,23.8,22.2,18.6,15.8,14.1,11.8,9.4,7.4,5.4,3.8,2.4,1.3,0.6,0.2,0,0,0.2,0.5,1,1.6,2.3,3.3,4.8,6.6,8.6,10.9,12.8,15.7,19,24.4,25.9,25.9,25.9,25.9,52.662748,-0.501852
746090,ST22240142,003W06 18 50N48 26,227,177,"2.000,000",340,1,3,4,3,4,4,2,0.7,0,0.7,2.5,6,9.5,14,20,26,20,18.4,26,18.3,12.5,9,5.2,2.2,0.6,0,0.8,2,4,4,2,4,3.2,1,0,0,50.807088,-3.104951
746091,TG25850266,001E19 54 52N34 29,65,102,"1.074,962",330,0,0.1,0.3,0.9,1.5,2.5,2.8,4.1,9.5,5.6,9.9,6.9,3.3,3,3.1,3.6,6,14.8,6.2,8.6,6.1,4.3,3.1,2.4,1.4,0.4,0.1,0,0.8,1.1,0.7,0.8,0.7,0.6,0.3,0.5,52.574817,1.331664
746092,IH39379479,007W23 19 54N47 58,274,230,"1.600,000",95,16.3,20.8,14.4,9.3,6.1,3.9,2.2,1.2,0.4,0,0,0.3,0.7,1.9,4,6,8.3,12.2,17,16.4,24.7,15.1,10.7,8.5,7.3,6.6,6.1,6.1,6.4,6.4,6.9,9,11.1,12.3,18.1,17.5,54.799414,-7.388644
746093,TL91233764,000E47 05 52N00 15,71,88,"2.398,833",235,0.7,0.3,0.1,0.4,1.3,2.9,5,7.9,10.7,15.2,19.2,24,24,22.4,19.8,15.6,12.1,9,6.2,4.5,2.4,1,0,0.3,0.3,1.1,1.7,2.4,2.3,2.8,2.6,2.7,2.6,2.4,2,1.2,52.004239,0.784592
746094,SK11350032,001W50 02 52N36 02,169,200,"8.729,995",,0,0.7,2.2,1.8,2.2,2.4,1.1,2.8,1.7,1.7,1.7,0.3,0.1,0.6,2.1,1.7,2.3,2.3,1.2,2.8,1.7,1.8,1.7,0.4,0,0.6,2.1,1.7,2.2,2.4,1.1,2.9,1.7,1.7,1.8,0.3,52.600539,-1.833856
746095,TF84410762,000E43 25 52N38 06,50,105,"0.170,000",,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,52.634975,0.72369
746096,TR33454291,001E20 09 51N08 16,122,113,"1.000,000",300,0,0.1,0.5,1.3,2.4,4,5.7,7.8,9.8,11.6,12.6,13.1,13.3,13.1,12.8,11.5,10,7.9,5.8,4,2.5,1.3,0.4,0.1,0.1,0,0.2,0.5,0.8,1,1.1,1.1,0.8,0.6,0.3,0.1,51.137832,1.335758
746097,TM13059584,001E08 19 52N31 08,64,131,"2.831,783",320,0.82,0.63,0.63,1.11,2.16,2.85,7.74,10.8,10.8,17.1,19.2,15.9,15.4,14.9,15.9,19.2,12.4,10.2,10.8,4.15,2.16,1.21,0.18,0,0.18,0.45,0.72,0.72,0.45,1.21,2.16,1.51,0.54,1.31,1.01,0.92,52.518759,1.138705
746098,ST25072930,003W04 14 51N03 29,130,19,"1.000,000",225,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,51.058123,-3.070536
746099,TR36616781,001E23 50 51N21 36,49,44,"0.381,997",270,1.8,1.8,3.8,4.8,2.8,1.8,2.6,4.3,6.8,7.3,4.2,3.3,4.3,4.3,2.8,2.4,2.1,2.8,0.2,0.3,2.8,3.5,0.8,0,0.2,0.8,1.7,1.1,0.8,2.8,3.8,2.8,1.8,1.8,1.8,2.8,51.36004,1.397292
746100,SJ62890828,002W33 01 52N40 15,396,45,"7.817,898",,3.7,5.5,4.3,4.9,6.3,3.1,1.3,0.4,1.5,4,5.3,4.3,4.7,6.2,3.6,1.5,0.5,1.3,3.2,5.3,4.5,4.2,5.7,3.4,1.4,0.4,0.9,3.1,5.2,3.8,4.5,5.5,2.8,0.7,0,1.1,52.670935,-2.550228
746101,SU384181,001W27 17 50N57 40,84,63,"0.500,000",320,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,50.961044,-1.454599
746102,SX406528,004W14 31 50N21 12,108,17,"0.600,000",70,5,5,4.6,4,3,2,0.7,0,0,0.5,1.3,2.3,3.5,4,4,4,4,4,4,3.5,3,2,1.2,0.5,0,0,0.5,2,3,4,5,5,5,5,5,5,50.353472,-4.242037
746103,TQ22691062,000W15 26 50N52 55,211,45,"1.800,002",0,1.6,1.7,1.4,1.5,1.2,0.7,0.8,0.6,1,1.9,3.1,5.3,8.3,10.5,14.1,19.7,24,26,26,26,26,19.4,12.5,9.8,6.8,4.8,3.6,2,0.9,0.3,0.1,0,0.9,1.4,1.6,1.6,50.882048,-0.257307
746104,TQ60734399,000E17 52 51N10 21,124,48,"1.460,000",30,1,0.5,0,0,0.6,1.6,3.3,6,10,13.3,14.3,12.9,12,12,13.2,14.4,13.8,11.4,8.9,6.7,5.1,3.7,2.7,2,1.5,1,1,1,1.5,1.9,2.3,2.8,3,2.9,2.4,1.8,51.172557,0.297815
746105,SO96818872,002W02 54 52N29 47,267,66,"9.549,926",,1.3,1.2,0.8,0.9,1.8,2.3,2.6,2.7,2.3,1.5,1.6,0.3,0,0,0.1,0.3,0.4,0.5,0.9,0.3,0.2,0.5,0.8,0.9,0.9,0.8,1.2,0.3,3.2,0.4,0,0.1,0.7,1.6,1.6,2,52.496364,-2.048417
746106,TR15353442,001E04 21 51N04 07,1,22,"0.010,000",10,5.4,5.3,5,4.3,3.4,2.3,1.2,0.5,0.1,0,0.4,1.2,2.4,3.7,4.9,5.5,5.7,5.9,5.9,6,5.9,5.6,4.9,3.8,2.3,1.3,0.4,0,0,0.5,1.3,2.4,3.4,4.3,5,5.3,51.068688,1.072375
746107,SK80942333,000W48 03 52N48 05,138,235,"8.403,941",290,3.7,8.7,3.6,4,8.4,6.9,3.8,4.2,7.8,7.4,5.1,7.7,12.5,7,4.5,4.4,6.7,11.7,6,2.4,6.3,4.5,0.5,0,0.6,1.8,3.6,2.3,0.1,0.4,2.4,3,1.3,0.8,0.6,0.7,52.801451,-0.80088
746108,TM19634254,001E12 03 52N02 16,32,49,"1.199,999",290,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,52.037726,1.200836
746109,SP90456741,000W40 30 52N17 51,43,63,"0.020,000",0,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1,0.7,0.3,0,0,0,0.3,0.5,0.8,52.297367,-0.675082
746110,ST11017417,003W16 56 51N27 34,129,200,"8.795,145",340,1.6,1.7,0.2,0.9,2.7,1,0.3,3,5.3,3.5,5.6,9.3,9.8,7.4,8.9,8.2,8.4,11.3,8.7,5.7,8,8.8,2.7,2,4.8,6.3,3.4,2.4,4.5,6.6,6.1,0.8,0,1.8,2.9,1.1,51.459476,-3.282282
746111,TF61091889,000E23 06 52N44 37,4,32,"0.030,000",60,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1,0.7,0.3,52.743618,0.384937
746112,ST81695978,002W15 51 51N20 12,87,48,"0.097,800",,3.8,3,2,1.2,0.7,0.4,0,0,0,0.3,0.5,0.8,1,0.8,0.5,0.2,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,51.336803,-2.264225
746113,SD72993527,002W24 42 53N48 47,172,48,"0.030,000",,0,0,0,0,0,0,0.4,0.8,1.3,2,3,3.8,4.9,6,6.4,6.7,7,7,7,6.7,6.4,6,4.9,3.8,3,2,1.2,0.7,0.4,0,0,0,0,0,0,0,53.812989,-2.411689
746114,NZ91110956,000W35 44 54N28 24,60,40,"1.000,000",,0.75,1.75,3,4.75,8,11,14.5,16,15,14,14.5,16,17.5,16,11,7,5.5,4,3,2,1,1,1,1.5,2,2,2.5,2.75,3,3,2.5,2.5,2,1,0.5,0,54.473215,-0.595572
